Product;Brands;Sub-Brands;Objective;Month;Platform;Tier;KOL Name;Category;Link Post;;;Followers Number;Actual Spends (IDR);Reach;Views;Likes;Comments;Share;ER;ER Views (%);VR (%);CPV (Rp)
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;chacha peregerin;Lifestyle;https://www.tiktok.com/@oktavianac/video/7614928861117074706?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;22462;950000;1700;1847;22;15;11;0,21%;2,60%;8,22%;514,3475907
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Elokclaraa;Lifestyle;https://www.tiktok.com/@elokclaraa/video/7614099262477012232?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;15122;950000;2300;2411;61;2;4;0,44%;2,78%;15,94%;394,0273745
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Silvia Ratu Pitaloka;Lifestyle;https://www.tiktok.com/@silviaratuu/video/7614435684937436436?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;35399;950000;1300;1391;96;1;1;0,28%;7,05%;3,93%;682,9618979
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Diajeng Melati S;Lifestyle;https://www.tiktok.com/@ajeeengms/video/7614305546946006290?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;10047;950000;1400;1852;108;13;4;1,24%;6,75%;18,43%;512,9589633
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Eka Rukmanasari;Lifestyle;https://www.tiktok.com/@hellow_saa/video/7613656782774340871?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;69811;950000;493;643;55;2;0;0,08%;8,86%;0,92%;1477,449456
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Rahmadilla Putri Berliana;Lifestyle;https://www.tiktok.com/@b.eerly/video/7614082694112120085?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;11870;950000;269;2321;16;1;36;0,45%;2,28%;19,55%;409,3063335
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Annisa Nurma Utami;Lifestyle;https://www.tiktok.com/@annisanuuu/video/7613220983754722568?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;31315;950000;466;596;15;0;0;0,05%;2,52%;1,90%;1593,959732
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;EGI SUANDI;Lifestyle;https://www.tiktok.com/@egisuandi/video/7613997937831496976?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;39868;950000;256;300;15;2;1;0,05%;6,00%;0,75%;3166,666667
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;Feby Asriani;Lifestyle;https://www.tiktok.com/@febyasr_/video/7613628516587883796?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;21953;950000;2500;2672;118;1;1;0,55%;4,49%;12,17%;355,5389222
Health Supplement;Enervon;Enervon Fizz;Consideration;Mar-26;TikTok;Micro;DODY SENJAYA;Lifestyle;https://www.tiktok.com/@langkahdody/video/7613398517016579336?utm_campaign=tt4d_open_api&utm_source=awtsed5i9xzgi8ph;;;98460;950000;4900;6583;347;5;18;0,38%;5,62%;6,69%;144,3111044
